id_partido,grupo,corto,largo,detalle
1,,Acción Popular,Acción Popular,
2,,Alianza para el Progreso,Alianza para el Progreso,
3,,Avanza País,Avanza País,
4,,Contigo,Contigo,
5,,Democracia Directa,Democracia Directa,
6,,Frente Amplio,Frente Amplio,
7,,Frepap,Frepap,
8,,Fuerza Popular,Fuerza Popular,
9,,Juntos por el Perú,Juntos por el Perú,
10,,APRA,APRA,
11,,Partido Morado,Partido Morado,
12,,Partido Nacionalista,Partido Nacionalista,
13,,Perú Libre,Perú Libre,
14,,Perú Nación,Perú Nación,
15,,Perú Patria Segura,Perú Patria Segura,
16,,PPC,PPC,
17,,Podemos Perú,Podemos Perú,
18,,Renacimiento  Andino,Renacimiento  Andino,
19,,Restauración Nacional,Restauración Nacional,
20,,Solidaridad Nacional,Solidaridad Nacional,
21,,Somos Perú,Somos Perú,
22,,Todos por el Perú,Todos por el Perú,
23,,Unión por el Perú,Unión por el Perú,
24,,Vamos Perú,Vamos Perú,
25,,Perú Posible,Perú Posible,
26,,Independiente,Independiente,
27,,Partido desaparecido,Partido desaparecido,