nombre,id_candidato,fecha,partido,id_partido,activo,observacion,foto,video,nota,epigrafe
Edmundo del Águila,1,2010,Acción Popular,1,1,Postuló a la alcaldía de La Molina sin éxito,,,,
Edmundo del Águila,1,2014,Acción Popular,1,1,Postuló a la alcaldía provincial de Lima sin éxito,,,,
Edmundo del Águila,1,2016,Acción Popular,1,1,Fue electo congresista por Lima,,,,
Edmundo del Águila,1,2021,Acción Popular,1,1,,,,,
Luis Enrique Galvez,2,(-2000),Acción Popular,1,1,Fue electo regidor de Lima (1989 y 1993). Postuló sin éxito al Congreso (1995) y a la alcaldía de Lima (1998) ,,,,
Luis Enrique Galvez,2,2021,Acción Popular,1,1,,,,,
Yonhy Lescano,3,(-2000),Solidaridad Nacional,20,1,Postuló sin éxito a las elecciones congresales por el partido del sol,,,,
Yonhy Lescano,3,2001,Acción Popular,1,1,Fue electo congresista por Puno,,,,
Yonhy Lescano,3,2006,Acción Popular,1,1,Fue electo congresista por la alianza Frente de Centro que reunió a Acción Popular y Somos Perú,,,,
Yonhy Lescano,3,2011,Acción Popular,1,1,"Fue electo congresista en la alianza que lideró Alejandro Toledo, de la mano de Acción Popular y Somos Perú",,,,
Yonhy Lescano,3,2016,Acción Popular,1,1,Por cuarto período consecutivo fue electo congresista,,,,
Yonhy Lescano,3,2021,Acción Popular,1,1,,,,,
Nidia Vilchez ,4,(-2000),APRA,10,1,"Fue candidata a las elecciones regionales de 1990 en Junín, siendo electa representante de asamblea regional",,,,
Nidia Vilchez ,4,2002,APRA,10,1,Postuló sin éxito al cargo de gobernadora regional de Junín,,,,
Nidia Vilchez ,4,2006,APRA,10,1,Fue electa congresista por Junín ,,,,
Nidia Vilchez ,4,2021,APRA,10,1,,,,,
Juan Sánchez Montes de Oca,5,2021,APRA,10,1,,,,,
Rafael Zevallos,6,,,,,,,,,
Fernando Cillóniz,7,,,,,,,,,
Ulises Múñoz,8,,,,,,,,,
Oscar Quintanilla,9,,,,,,,,,
Ciro Gálvez Herrera,10,,,,,,,,,
Richard Arce,11,,,,,,,,,
Julio Guzmán,12,,,,,,,,,
Carolina Lizárraga,13,,,,,,,,,
José Vega,14,,,,,,,,,
Fredy Serna Guzmán,15,,,,,,,,,
Alberto Beingolea,16,,,,,,,,,
Andrés Alcántara,17,,,,,,,,,
César Acuña,18,,,,,,,,,
Daniel Salaverry,19,,,,,,,,,
Daniel Urresti,20,,,,,,,,,
Francisco Diez Canseco,21,,,,,,,,,
George Forsyth,22,,,,,,,,,
Hernando de Soto,23,,,,,,,,,
Keiko Fujimori,24,,,,,,,,,
Marco Arana,25,,,,,,,,,
Ollanta Humala,26,,,,,,,,,
Pedro Castillo,27,,,,,,,,,
Rafael López Aliaga,28,,,,,,,,,
Rafael Santos,29,,,,,,,,,
Verónika Mendoza,30,,,,,,,,,
Virgilio Acuña,31,,,,,,,,,